port,ship,cruise_line,passengers,arrival_date,arrival_time,departure_time,all_aboard_time,source,source_url,source_checked,notes
nordfjordeid,Spirit Of Adventure,Saga Cruises,999,2026-06-02,12:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Costa Favolosa,Costa Cruises,3800,2026-06-06,07:30,16:30,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Artania,Phoenix Reisen,1260,2026-06-07,08:00,18:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,AIDAperla,AIDA,,2026-06-10,08:00,18:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Artania,Phoenix Reisen,1260,2026-06-15,08:00,18:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Costa Favolosa,Costa Cruises,3800,2026-06-15,09:00,19:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff 3,TUI Cruises,,2026-06-18,07:00,19:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,AIDAperla,AIDA,,2026-06-24,11:00,21:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Oceania Marina,Oceania Cruises,1250,2026-07-05,08:00,16:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Amera,Phoenix Reisen,,2026-07-06,08:00,18:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Costa Favolosa,Costa Cruises,3800,2026-07-06,09:00,19:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,AIDAperla,AIDA,,2026-07-07,09:30,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff 3,TUI Cruises,,2026-07-09,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,MSC Virtuosa,MSC Cruises,6334,2026-07-14,08:00,18:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Renaissance,CFC Croisieres,1100,2026-07-15,08:00,17:30,,Manual CSV import,,,All aboard time TBC
nordfjordeid,AIDAperla,AIDA,,2026-07-21,09:30,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff 3,TUI Cruises,,2026-07-22,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff Relax,TUI Cruises,2894,2026-07-23,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Spirit Of Discovery,Saga Cruises,999,2026-07-27,08:00,17:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,AIDAnova,AIDA,5200,2026-07-28,08:00,18:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,AIDAprima,AIDA,3376,2026-07-30,08:00,18:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,AIDAperla,AIDA,,2026-08-04,09:30,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Seven Seas Grandeur,Regent Seven Seas,746,2026-08-10,08:00,18:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff 1,TUI Cruises,,2026-08-15,07:00,19:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff Relax,TUI Cruises,2894,2026-08-17,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,AIDAperla,AIDA,,2026-08-18,09:30,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Oceania Insignia,Oceania Cruises,684,2026-08-19,11:00,19:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Costa Favolosa,Costa Cruises,3800,2026-08-21,08:00,17:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Celebrity Apex,Celebrity Cruises,2910,2026-08-25,10:00,21:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Arcadia,P&O Cruises,,2026-08-25,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
nordfjordeid,Mein Schiff Relax,TUI Cruises,2894,2026-08-27,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Costa Favolosa,Costa Cruises,3800,2026-08-29,09:00,19:00,,Manual CSV import,,,All aboard time TBC
