port,ship,cruise_line,passengers,arrival_date,arrival_time,departure_time,all_aboard_time,source,source_url,source_checked,notes
tromso,Viking Astrea,Viking,,2028-01-21,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
tromso,Viking Astrea,Viking,,2028-02-14,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
tromso,Queen Mary 2,Cunard Line,,2028-02-20,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
tromso,Mein Schiff 2,TUI Cruises,,2028-02-22,09:00,,,Manual CSV import,,,Departure time TBC; All aboard time TBC
tromso,Ambience,Ambassador Cruise Line,1400,2028-02-28,09:00,22:00,,Manual CSV import,,,All aboard time TBC
tromso,Mein Schiff 2,TUI Cruises,,2028-03-02,09:00,,,Manual CSV import,,,Departure time TBC; All aboard time TBC
tromso,Majestic Princess,Princess Cruises,,2028-03-07,12:00,,,Manual CSV import,,,Departure time TBC; All aboard time TBC
tromso,Viking Astrea,Viking,,2028-03-09,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
tromso,Queen Victoria,Cunard Line,,2028-03-12,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
tromso,Ambition,Ambassador Cruise Line,1400,2028-03-16,08:00,20:00,,Manual CSV import,,,All aboard time TBC
tromso,Mein Schiff 2,TUI Cruises,,2028-03-21,09:00,,,Manual CSV import,,,Departure time TBC; All aboard time TBC
tromso,Majestic Princess,Princess Cruises,,2028-03-23,09:00,,,Manual CSV import,,,Departure time TBC; All aboard time TBC
tromso,Aurora,P&O Cruises,,2028-03-25,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
tromso,Aurora,P&O Cruises,,2028-04-06,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
tromso,AIDAmar,AIDA,,2028-04-08,09:00,,,Manual CSV import,,,Departure time TBC; All aboard time TBC
tromso,Amera,Phoenix Reisen,,2028-04-16,09:00,23:00,,Manual CSV import,,,All aboard time TBC
tromso,MSC Preziosa,MSC Cruises,,2028-05-10,14:00,21:00,,Manual CSV import,,,All aboard time TBC
tromso,AIDAsol,AIDA,,2028-05-18,10:00,19:00,,Manual CSV import,,,All aboard time TBC
tromso,Nieuw Statendam,Holland America Line,2668,2028-05-20,09:00,18:00,,Manual CSV import,,,All aboard time TBC
tromso,Europa 2,Hapag Lloyd,,2028-05-29,13:00,19:00,,Manual CSV import,,,All aboard time TBC
tromso,MSC Preziosa,MSC Cruises,,2028-06-01,14:00,21:00,,Manual CSV import,,,All aboard time TBC
tromso,AIDAluna,AIDA,2050,2028-06-02,10:00,19:00,,Manual CSV import,,,All aboard time TBC
tromso,Viking Libra,Viking,,2028-06-07,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
tromso,AIDAsol,AIDA,,2028-06-10,09:00,18:00,,Manual CSV import,,,All aboard time TBC
