date,ship,arrival,departure,cruiseline
2027-05-03,Costa Diadema,08:00,18:00,Costa Cruises
2027-05-04,AIDAnova,08:00,18:00,AIDA
2027-05-05,Arvia,tbc,tbc,P&O Cruises
2027-05-06,MSC Euribia,07:00,18:00,MSC Cruises
2027-05-08,Explora IV,08:00,18:00,Explora Journeys
