date,ship,arrival,departure,cruiseline
2027-11-03,AIDAprima,10:00,20:00,AIDA
2027-11-04,AIDAnova,10:00,tbc,AIDA
2027-11-04,AIDAnova,10:00,20:00,AIDA
2027-11-09,AIDAnova,08:00,18:00,AIDA
2027-11-09,AIDAnova,10:00,tbc,AIDA
2027-11-19,Queen Victoria,tbc,tbc,Cunard Line
2027-11-23,AIDAnova,08:00,18:00,AIDA
