date,ship,arrival,departure,cruiseline
2027-10-05,AIDAnova,08:00,18:00,AIDA
2027-10-07,MSC Euribia,07:00,18:00,MSC Cruises
2027-10-14,Mein Schiff Relax,07:30,19:00,TUI Cruises
2027-10-18,AIDAprima,08:00,18:00,AIDA
2027-10-19,AIDAnova,08:00,18:00,AIDA
