date,ship,arrival,departure,cruiseline
2028-03-02,Viking Astrea,tbc,tbc,Viking
2028-03-03,Ambience,08:00,14:00,Ambassador Cruise Line
2028-03-07,AIDAperla,09:00,17:30,AIDA
2028-03-10,Mein Schiff 2,09:00,18:00,TUI Cruises
2028-03-13,AIDAnova,10:00,20:00,AIDA
2028-03-14,Majestic Princess,08:00,18:00,Princess Cruises
