date,ship,arrival,departure,cruiseline
2028-08-03,Queen Anne,tbc,tbc,Cunard Line
2028-08-10,Zuiderdam,08:00,15:00,Holland America Line
2028-08-11,Norwegian Getaway,07:00,16:00,Norwegian Cruise Line
2028-08-12,Queen Victoria,tbc,tbc,Cunard Line
2028-08-16,Queen Anne,tbc,tbc,Cunard Line
2028-08-22,Norwegian Getaway,11:00,19:00,Norwegian Cruise Line
2028-08-23,Arvia,tbc,tbc,P&O Cruises
