date,ship,arrival,departure,cruiseline
2028-05-06,MSC Preziosa,tbc,tbc,MSC Cruises
2028-05-07,Ambition,tbc,tbc,Ambassador Cruise Line
2028-05-10,MSC Euribia,tbc,tbc,MSC Cruises
2028-05-16,AIDAsol,tbc,tbc,AIDA
2028-05-17,MSC Euribia,tbc,tbc,MSC Cruises
2028-05-28,MSC Preziosa,tbc,tbc,MSC Cruises
2028-05-31,Europa 2,tbc,tbc,Hapag Lloyd
