date,ship,arrival,departure,cruiseline
2027-03-03,AIDAnova,08:00,18:00,AIDA
2027-03-12,AIDAprima,09:00,17:00,AIDA
2027-03-17,AIDAnova,08:00,18:00,AIDA
2027-03-25,AIDAprima,09:00,17:00,AIDA
