date,ship,arrival,departure,cruiseline
2028-05-03,Zuiderdam,08:00,17:00,Holland America Line
2028-05-15,Nieuw Statendam,10:00,18:00,Holland America Line
2028-05-24,Caribbean Princess,10:00,21:00,Princess Cruises
