date,ship,arrival,departure,cruiseline
2027-09-04,Celebrity Apex,07:00,16:00,Celebrity Cruises
2027-09-04,Europa 2,18:00,24:00,Hapag Lloyd
2027-09-04,MSC Preziosa,13:00,tbc,MSC Cruises
2027-09-19,Viking Mira,tbc,tbc,Viking
2027-09-28,MSC Preziosa,13:00,tbc,MSC Cruises
