date,ship,arrival,departure,cruiseline
2027-08-01,Azamara Journey,13:30,22:00,Azamara Cruises
2027-08-04,Queen Mary 2,tbc,tbc,Cunard Line
2027-08-05,Mein Schiff 2,09:00,18:00,TUI Cruises
2027-08-06,AIDAprima,10:00,20:00,AIDA
2027-08-08,Seven Seas Voyager,10:00,19:00,Regent Seven Seas
2027-08-09,Europa,09:00,18:00,Hapag Lloyd
2027-08-12,Mein Schiff 3,09:00,18:00,TUI Cruises
2027-08-17,Mein Schiff Relax,07:00,18:00,TUI Cruises
