date,ship,arrival,departure,cruiseline
2027-02-21,Mein Schiff 3,08:00,23:30,TUI Cruises
2027-02-28,AIDAsol,08:00,18:00,AIDA
2027-02-28,Spirit Of Discovery,08:00,17:00,Saga Cruises
