date,ship,arrival,departure,cruiseline
2027-04-02,AIDAluna,09:00,19:00,AIDA
2027-04-03,Bolette,tbc,tbc,Fred Olsen Cruise Lines
2027-04-13,Ambition,08:00,17:00,Ambassador Cruise Line
2027-04-18,AIDAluna,09:00,19:00,AIDA
2027-04-20,Rotterdam,08:00,16:00,Holland America Line
2027-04-22,AIDAsol,09:00,19:00,AIDA
2027-04-29,AIDAdiva,09:00,17:00,AIDA
