date,ship,arrival,departure,cruiseline
2027-07-01,MSC Meraviglia,09:00,19:00,MSC Cruises
2027-07-01,Sky Princess,07:00,16:00,Princess Cruises
2027-07-02,Mein Schiff Relax,08:00,22:00,TUI Cruises
2027-07-03,Norwegian Prima,07:00,17:00,Norwegian Cruise Line
2027-07-03,Star Pride,07:00,15:00,Windstar Cruises
2027-07-03,Star Pride,14:00,22:00,Windstar Cruises
2027-07-04,Seven Seas Splendor,08:00,18:00,Regent Seven Seas
2027-07-05,AIDAprima,10:00,20:00,AIDA
2027-07-06,Celebrity Eclipse,07:00,15:00,Celebrity Cruises
