date,ship,arrival,departure,cruiseline
2027-05-02,Britannia,tbc,tbc,P&O Cruises
2027-05-03,Iona,tbc,tbc,P&O Cruises
2027-05-04,Queen Anne,tbc,tbc,Cunard Line
2027-05-05,Explora IV,08:00,19:00,Explora Journeys
2027-05-06,AIDAnova,10:00,20:00,AIDA
2027-05-07,AIDAprima,11:00,21:00,AIDA
