date,ship,arrival,departure,cruiseline
2028-06-02,Aurora,tbc,tbc,P&O Cruises
2028-06-03,Viking Vesta,tbc,tbc,Viking
2028-06-05,Zuiderdam,08:00,17:00,Holland America Line
2028-06-07,Ambience,07:00,18:00,Ambassador Cruise Line
2028-06-08,AIDAdiva,09:00,17:00,AIDA
